CourseId,Review,Label,language,sentiment,clean_review
learning-how-to-learn,Amazing course on mental techniques to overcome procrastination and remember important information of any subject.,5,en,positive,amazing course mental technique overcome procrastination remember important information subject
designing-organization,Great Course,5,en,positive,great course
python,good course. Can be better in terms of information and assignments.,3,en,neutral,good course well term information assignment
work-smarter-not-harder,"Unfortunately, without a doubt, the worst und most uninformative course I've ever taken. Apart from stating the obvious nothing new. A lot of repetition of ""useless"" information. Super disappointed. Can't believe that such a course is offered here and that I really paid for nothing of such quality.",1,en,negative,unfortunately doubt bad und uninformative course take apart state obvious new lot repetition useless information super disappointed believe course offer pay quality
strategic-management,A first world opinion on business strategy evolution.,5,en,positive,world opinion business strategy evolution
digital-marketing-capstone,"Capstone exercises were very ambiguous, the students were left to interpret they way they had to finish and how they rated their peers.The peer reviews were poor with little to no feedback and the focus was on how the material was laid out vs what the content was.I have done other coursers and capstones in Coursera this was one of the poorest. UIUC has to revamp this. More guidance to students in the instructions would be the first step.",1,en,negative,capstone exercise ambiguous student leave interpret way finish rat peer review poor little feedback focus material lay vs content courser capstone coursera poor uiuc revamp guidance student instruction step
cyber-security-domain,"Pretty average and way too short/fast paced videos. Felt like it was put together on the fly. I don't usually review but this was not great, the reading material they linked to was the best content overall.",2,en,negative,pretty average way short fast pace video feel like fly usually review great reading material link good content overall
health-for-all,It's a wonderful course for everyone who deems Primary Health Care to be important.,5,en,positive,wonderful course deem primary health care important
personal-branding,everything is there butshould be deeper for experienced persons,3,en,neutral,butshould deep experienced person
people-management,It is a good refresher course for practitioners and should be really helpful for beginners,4,en,positive,good refresher course practitioner helpful beginner
regression-models,This course failed greatly to balance the workload by week. The third week which I think was the most important one have too many information to learn and assimilate whereas the first two weeks could be rearranged to start multivariate regression earlier. Another proof of week 3 issue: the related swirl exercises start in week2 (2 of them) and finish in week4 (2 more exercises) !!!!!I think one of the most important expertise and knowledge that a data scientist must know and master was unfairly squeezed in one week leaving no time for the learner/student to do more search/exercises on the subject.,2,en,negative,course fail greatly balance workload week week think important information learn assimilate week rearrange start multivariate regression early proof week issue related swirl exercise start finish exercise think important expertise knowledge data scientist know master unfairly squeeze week leave time learner student search exercise subject
economics-transition-emerging-markets,It's a very dry course. The material is very limited and the coverage has to be more lively with some some relevant examples.,1,en,negative,dry course material limited coverage lively relevant example
html,"Very excellent course for beginners. Hope that the next courses will be at the same level!Two main problems, though: first, the autograder is very bad, should be much more flexible.Second, in my opinion, the homework should be more code-based, just like the final project.",3,en,neutral,excellent course beginner hope course main problem autograder bad opinion homework code base like final project
data-scientists-tools,Just an intro and learning a bit about Git and Git hub.,3,en,neutral,intro learn bit git git hub
ml-classification,"This Machine Learning class and the rest of the Machine Learning series from the University of Washington is the best material on the subject matter. What really sets this course and series apart is the case-base methodology as well as in-depth technical subject matter. Specifically, the step through coding of the algorithms provides key insight that is seriously missed in other classes even in traditional academic settings. I highly encourage the authors and other Coursera publishers to continue to publish more educational material in the same framework.",5,en,positive,machine learn class rest machine learn series university washington good material subject matter set course series apart case base methodology depth technical subject matter specifically step coding algorithm provide key insight seriously miss class traditional academic setting highly encourage author coursera publisher continue publish educational material framework
general-chemistry,Too many mistakes in the math. I dropped after a week,1,en,negative,mistake math drop week
fundamentals-of-graphic-design,"This course does go over some of the basics of graphic design, but I expected it to be a lot more rigorous. The assignments are incredibly simple, and I think that there should be no optional assignments in the class. The reason I'm taking this class is because I have a hard time motivating myself to learn on my own, so I need something that will really push me. I only spent about an hour a week completing this course, and I believe that you can't learn something by only spending an hour a week on it. Also what's the point of having mentors if they don't engage with you? I know I could have contacted them if I had a question, but I didn't because it was so easy. I wouldn't mind getting feedback from a professional graphic designer though if they're available. Also seeing how many students misinterpret the assignments, it makes me nervous that they are the ones grading mine.",2,en,negative,course basic graphic design expect lot rigorous assignment incredibly simple think optional assignment class reason take class hard time motivate learn need push spend hour week complete course believe learn spend hour week point have mentor engage know contact question easy mind get feedback professional graphic designer available see student misinterpret assignment make nervous one grade
big-data-cloud-computing-cdn,not of a worth,1,en,negative,worth
dog-emotion-and-cognition,I just do not feel a connection with this professor - he is constantly plugging his book and the website. The content is just not engaging.,1,en,negative,feel connection professor constantly plug book website content engage
introcss,"the course was briliant.i am very much immpressed by the way of teaching,It was great.",5,en,positive,course immpresse way teaching great
progfun2,"Too much of the content is already contained in the courses ""Functional Programming Principles in Scala"" and ""Principles of Reactive Programming"". Would be nice to have some new assignments.",3,en,neutral,content contain course functional programming principle scala principle reactive programming nice new assignment
python,This course has been dumbed down so much that no moderately intelligent person should be subjected to it. Coursera really needs to rethink its approach to teaching. I can only express my sympathy for those were seduced into actually paying for this course.,1,en,negative,course dumbe moderately intelligent person subject coursera need rethink approach teaching express sympathy seduce actually pay course
basic-statistics,Great course for beginners:S,5,en,positive,great course beginner s
media,Awesome course! Keep going 'coz ya are doing great job!,5,en,positive,awesome course go ya great job
project-planning,"It isn't as engaging as I thought it would be. Since this is an introductory course, it would have helped if this were more interactive to build the interest for the latter courses.",3,en,neutral,engaging think introductory course help interactive build interest course
neural-networks,"Not clear illustration， many problems are not directly related to the content covered. More importantly, it sucks!",1,en,negative,clear illustration problem directly relate content cover importantly suck
project-planning,It was very useful and informative! I understood everything even if I'm not English-native speaker.Thank you!,5,en,positive,useful informative understand english native
sustainable-development,"Excellent course content but very poorly designed quizzes. More clarity is needed in formulating questions, since different pages have different values for the same data sets (even on the same website such as the World Bank indicator datasets) and it will be difficult for students to get the right answers.",1,en,negative,excellent course content poorly design quiz clarity need formulate question different page different value data set website world bank indicator dataset difficult student right answer
interactive-python-1,"This course is very funny and useful, and don't worry about the homework, the teachers will give you basic train of thought which will help you a lot!",5,en,positive,course funny useful worry homework teacher basic train thought help lot
learning-how-to-learn,"Great pity i haven't met this course in my student's time - everything would have been much easier, productive and pleasant!",5,en,positive,great pity meet course student time easy productive pleasant
